
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34148.500000 2047   22 18 07.67891  114 11 25.43099        2.866        0.000        0.000    -0.002     0.000     0.007 3     -1.99630    0.59740  138.17840
 34148.600000 2047   22 18 07.67893  114 11 25.43099        2.867        0.000        0.000     0.003     0.005    -0.018 3     -1.99510    0.59360  138.17680
 34148.700000 2047   22 18 07.67896  114 11 25.43098        2.867        0.000        0.000    -0.004     0.001     0.006 3     -1.99400    0.59340  138.17740
 34148.800000 2047   22 18 07.67899  114 11 25.43098        2.868        0.000        0.000     0.001     0.007    -0.016 3     -1.99350    0.59430  138.17780
 34148.900000 2047   22 18 07.67901  114 11 25.43097        2.869        0.000        0.000    -0.005    -0.001     0.005 3     -1.99450    0.59090  138.17700
 34149.000000 2047   22 18 07.67904  114 11 25.43097        2.870        0.000        0.000     0.002     0.007    -0.013 3     -1.99400    0.58640  138.17700
 34149.100000 2047   22 18 07.67907  114 11 25.43096        2.871        0.000        0.000    -0.003    -0.001     0.007 3     -1.99490    0.58450  138.17510
 34149.200000 2047   22 18 07.67909  114 11 25.43096        2.872        0.000        0.000     0.006     0.008    -0.011 3     -1.99280    0.57830  138.17370
 34149.300000 2047   22 18 07.67911  114 11 25.43096        2.873        0.000        0.000     0.023     0.010    -0.001 3     -2.00980    0.56070  138.17900
 34149.400000 2047   22 18 07.67912  114 11 25.43096        2.873        0.000        0.000     0.000    -0.003     0.021 3     -1.99200    0.54890  138.17320
 34149.500000 2047   22 18 07.67914  114 11 25.43096        2.874        0.000        0.000     0.003    -0.002    -0.009 3     -1.99780    0.57510  138.16990
 34149.600000 2047   22 18 07.67915  114 11 25.43096        2.875        0.000        0.000     0.010     0.004     0.002 3     -1.99200    0.57630  138.17170
 34149.700000 2047   22 18 07.67916  114 11 25.43096        2.875        0.000        0.000    -0.007    -0.002    -0.006 3     -1.99890    0.57540  138.17210
