
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34537.450000 2047   22 18 19.34744  114 11 10.61612        1.321        0.000        0.000    -0.008     0.003     0.000 3     -1.53660    0.14060   31.30570
 34537.550000 2047   22 18 19.34738  114 11 10.61614        1.326        0.000        0.000     0.006    -0.010     0.005 3     -1.54330    0.14490   31.30540
 34537.650000 2047   22 18 19.34733  114 11 10.61616        1.330        0.000        0.000    -0.004     0.000    -0.001 3     -1.53790    0.14160   31.30460
 34537.750000 2047   22 18 19.34728  114 11 10.61617        1.334        0.000        0.000     0.009    -0.004     0.006 3     -1.53250    0.14360   31.30590
 34537.850000 2047   22 18 19.34723  114 11 10.61618        1.339        0.000        0.000    -0.007     0.003    -0.004 3     -1.53360    0.14160   31.30500
 34537.950000 2047   22 18 19.34718  114 11 10.61619        1.343        0.000        0.000     0.003    -0.002     0.008 3     -1.54030    0.14580   31.30430
 34538.050000 2047   22 18 19.34714  114 11 10.61619        1.346        0.000        0.000    -0.004     0.000    -0.006 3     -1.53600    0.14250   31.30670
 34538.150000 2047   22 18 19.34710  114 11 10.61619        1.350        0.000        0.000     0.006    -0.008     0.009 3     -1.53560    0.14590   31.30570
 34538.250000 2047   22 18 19.34706  114 11 10.61619        1.354        0.000        0.000    -0.007    -0.003    -0.006 3     -1.52890    0.14240   31.30550
 34538.350000 2047   22 18 19.34702  114 11 10.61619        1.357        0.000        0.000     0.004    -0.005     0.011 3     -1.53550    0.14360   31.30570
 34538.450000 2047   22 18 19.34698  114 11 10.61619        1.361        0.000        0.000    -0.007    -0.001    -0.008 3     -1.53440    0.14010   31.30680
 34538.550000 2047   22 18 19.34695  114 11 10.61619        1.364        0.000        0.000     0.007    -0.008     0.010 3     -1.53930    0.14270   31.30440
 34538.650000 2047   22 18 19.34692  114 11 10.61618        1.367        0.000        0.000    -0.003     0.002    -0.008 3     -1.53130    0.14180   31.30680
 34538.750000 2047   22 18 19.34688  114 11 10.61618        1.370        0.000        0.000     0.004    -0.006     0.011 3     -1.53630    0.14710   31.30520
 34538.850000 2047   22 18 19.34685  114 11 10.61617        1.373        0.000        0.000    -0.008    -0.001    -0.008 3     -1.53520    0.14420   31.30500
 34538.950000 2047   22 18 19.34682  114 11 10.61617        1.376        0.000        0.000     0.007    -0.008     0.010 3     -1.53780    0.14710   31.30510
 34539.050000 2047   22 18 19.34679  114 11 10.61616        1.379        0.000        0.000    -0.007    -0.005    -0.008 3     -1.53690    0.14010   31.30220
 34539.150000 2047   22 18 19.34677  114 11 10.61616        1.382        0.000        0.000     0.003    -0.007     0.011 3     -1.53600    0.14140   31.30290
 34539.250000 2047   22 18 19.34674  114 11 10.61615        1.385        0.000        0.000    -0.004    -0.001    -0.009 3     -1.53890    0.13890   31.30220
 34539.350000 2047   22 18 19.34671  114 11 10.61614        1.387        0.000        0.000     0.005    -0.007     0.013 3     -1.54090    0.14040   31.30170
 34539.450000 2047   22 18 19.34668  114 11 10.61613        1.390        0.000        0.000    -0.004    -0.001    -0.009 3     -1.53540    0.13980   31.30270
 34539.550000 2047   22 18 19.34666  114 11 10.61613        1.392        0.000        0.000     0.006    -0.003     0.011 3     -1.53730    0.14230   31.30180
 34539.650000 2047   22 18 19.34663  114 11 10.61612        1.394        0.000        0.000    -0.008    -0.002    -0.007 3     -1.53870    0.14580   31.30190
 34539.750000 2047   22 18 19.34661  114 11 10.61611        1.397        0.000        0.000     0.002    -0.006     0.010 3     -1.53630    0.14190   31.30230
 34539.850000 2047   22 18 19.34658  114 11 10.61611        1.399        0.000        0.000     0.001    -0.008    -0.009 3     -1.53840    0.14430   31.30260
 34539.950000 2047   22 18 19.34656  114 11 10.61610        1.401        0.000        0.000    -0.005    -0.004     0.011 3     -1.53670    0.14240   31.30210
 34540.050000 2047   22 18 19.34654  114 11 10.61609        1.403        0.000        0.000     0.004    -0.006    -0.004 3     -1.53980    0.13930   31.30100
 34540.150000 2047   22 18 19.34651  114 11 10.61608        1.405        0.000        0.000    -0.005    -0.001     0.003 3     -1.54150    0.13590   31.30140
 34540.250000 2047   22 18 19.34649  114 11 10.61608        1.407        0.000        0.000     0.004    -0.005     0.005 3     -1.54100    0.13740   31.30090
 34540.350000 2047   22 18 19.34647  114 11 10.61607        1.409        0.000        0.000     0.000    -0.002    -0.005 3     -1.53920    0.13670   31.30150
 34540.450000 2047   22 18 19.34644  114 11 10.61606        1.411        0.000        0.000     0.001    -0.002     0.007 3     -1.54130    0.13500   31.30080
 34540.550000 2047   22 18 19.34642  114 11 10.61606        1.413        0.000        0.000     0.002    -0.003    -0.009 3     -1.54300    0.14030   31.30060
 34540.650000 2047   22 18 19.34640  114 11 10.61605        1.414        0.000        0.000    -0.002     0.003     0.009 3     -1.53790    0.13580   31.30050
 34540.750000 2047   22 18 19.34638  114 11 10.61605        1.416        0.000        0.000     0.004    -0.003    -0.009 3     -1.54360    0.13960   31.30050
 34540.850000 2047   22 18 19.34636  114 11 10.61604        1.418        0.000        0.000    -0.007     0.001     0.003 3     -1.54090    0.13940   31.30040
 34540.950000 2047   22 18 19.34634  114 11 10.61603        1.419        0.000        0.000     0.004    -0.007    -0.005 3     -1.54160    0.14350   31.30070
 34541.050000 2047   22 18 19.34632  114 11 10.61603        1.421        0.000        0.000    -0.006     0.000     0.001 3     -1.53580    0.13800   31.30010
 34541.150000 2047   22 18 19.34630  114 11 10.61602        1.422        0.000        0.000     0.002    -0.008    -0.002 3     -1.54080    0.13890   31.30110
 34541.250000 2047   22 18 19.34628  114 11 10.61601        1.424        0.000        0.000    -0.006    -0.002     0.000 3     -1.53910    0.13810   31.30010
 34541.350000 2047   22 18 19.34626  114 11 10.61601        1.425        0.000        0.000     0.007    -0.008     0.000 3     -1.54120    0.13790   31.30030
 34541.450000 2047   22 18 19.34624  114 11 10.61600        1.427        0.000        0.000    -0.007     0.000    -0.006 3     -1.53780    0.13620   31.30020
 34541.550000 2047   22 18 19.34622  114 11 10.61600        1.428        0.000        0.000     0.004    -0.005     0.002 3     -1.53970    0.13860   31.30070
 34541.650000 2047   22 18 19.34620  114 11 10.61599        1.429        0.000        0.000    -0.006     0.002    -0.006 3     -1.53940    0.13940   31.29990
 34541.750000 2047   22 18 19.34618  114 11 10.61599        1.431        0.000        0.000     0.003    -0.006     0.001 3     -1.54110    0.14090   31.30010
 34541.850000 2047   22 18 19.34616  114 11 10.61598        1.432        0.000        0.000    -0.007     0.000    -0.005 3     -1.53500    0.14060   31.30050
 34541.950000 2047   22 18 19.34615  114 11 10.61598        1.433        0.000        0.000     0.004    -0.007     0.000 3     -1.54100    0.14120   31.30000
 34542.050000 2047   22 18 19.34613  114 11 10.61597        1.434        0.000        0.000    -0.005    -0.001    -0.004 3     -1.53570    0.13600   31.30050
 34542.150000 2047   22 18 19.34611  114 11 10.61597        1.435        0.000        0.000     0.007    -0.007     0.003 3     -1.53950    0.13760   31.30010
 34542.250000 2047   22 18 19.34609  114 11 10.61596        1.437        0.000        0.000    -0.003     0.002    -0.004 3     -1.53620    0.13510   31.30020
 34542.350000 2047   22 18 19.34608  114 11 10.61596        1.438        0.000        0.000     0.007    -0.004     0.002 3     -1.53820    0.13550   31.30040
 34542.450000 2047   22 18 19.34606  114 11 10.61595        1.439        0.000        0.000    -0.006     0.004    -0.006 3     -1.53700    0.13670   31.29980
 34542.550000 2047   22 18 19.34604  114 11 10.61595        1.440        0.000        0.000     0.008    -0.003     0.003 3     -1.53810    0.13920   31.29990
 34542.650000 2047   22 18 19.34603  114 11 10.61594        1.440        0.000        0.000    -0.003     0.002    -0.005 3     -1.53650    0.13860   31.29990
 34542.750000 2047   22 18 19.34601  114 11 10.61594        1.441        0.000        0.000     0.006    -0.005     0.001 3     -1.53660    0.13840   31.30040
 34542.850000 2047   22 18 19.34600  114 11 10.61593        1.442        0.000        0.000    -0.004     0.001    -0.005 3     -1.53660    0.13760   31.29970
 34542.950000 2047   22 18 19.34598  114 11 10.61593        1.443        0.000        0.000     0.009    -0.006     0.003 3     -1.54020    0.13810   31.29980
 34543.050000 2047   22 18 19.34597  114 11 10.61592        1.444        0.000        0.000    -0.003     0.003    -0.005 3     -1.53800    0.13570   31.30010
 34543.150000 2047   22 18 19.34595  114 11 10.61592        1.445        0.000        0.000     0.007    -0.002     0.003 3     -1.54170    0.13700   31.29960
 34543.250000 2047   22 18 19.34594  114 11 10.61592        1.445        0.000        0.000    -0.004     0.004    -0.007 3     -1.53910    0.13830   31.29980
 34543.350000 2047   22 18 19.34592  114 11 10.61591        1.446        0.000        0.000     0.008    -0.001     0.002 3     -1.54110    0.13930   31.29910
 34543.450000 2047   22 18 19.34591  114 11 10.61591        1.447        0.000        0.000    -0.005     0.002    -0.007 3     -1.53770    0.13780   31.29940
 34543.550000 2047   22 18 19.34589  114 11 10.61591        1.447        0.000        0.000     0.006    -0.005     0.004 3     -1.53940    0.13880   31.29960
 34543.650000 2047   22 18 19.34588  114 11 10.61590        1.448        0.000        0.000    -0.004     0.001    -0.006 3     -1.53840    0.13850   31.29960
 34543.750000 2047   22 18 19.34587  114 11 10.61590        1.448        0.000        0.000     0.009    -0.006     0.005 3     -1.54120    0.13750   31.29870
 34543.850000 2047   22 18 19.34586  114 11 10.61590        1.449        0.000        0.000    -0.002     0.002    -0.007 3     -1.53890    0.13600   31.29980
 34543.950000 2047   22 18 19.34584  114 11 10.61590        1.449        0.000        0.000     0.008    -0.003     0.004 3     -1.54050    0.13770   31.29900
 34544.050000 2047   22 18 19.34583  114 11 10.61589        1.450        0.000        0.000    -0.004     0.003    -0.006 3     -1.53970    0.13890   31.30000
 34544.150000 2047   22 18 19.34582  114 11 10.61589        1.450        0.000        0.000     0.007    -0.002     0.003 3     -1.54320    0.14130   31.29900
 34544.250000 2047   22 18 19.34581  114 11 10.61589        1.451        0.000        0.000    -0.004     0.002    -0.005 3     -1.53740    0.13740   31.30050
 34544.350000 2047   22 18 19.34579  114 11 10.61589        1.451        0.000        0.000     0.006    -0.006     0.005 3     -1.54190    0.14120   31.30010
 34544.450000 2047   22 18 19.34578  114 11 10.61589        1.452        0.000        0.000    -0.004     0.001    -0.005 3     -1.54030    0.13960   31.30000
 34544.550000 2047   22 18 19.34577  114 11 10.61588        1.452        0.000        0.000     0.009    -0.005     0.004 3     -1.54050    0.13810   31.29920
 34544.650000 2047   22 18 19.34576  114 11 10.61588        1.452        0.000        0.000    -0.002     0.001    -0.005 3     -1.53980    0.13710   31.30020
 34544.750000 2047   22 18 19.34575  114 11 10.61588        1.453        0.000        0.000     0.009    -0.003     0.004 3     -1.54080    0.13910   31.29940
 34544.850000 2047   22 18 19.34574  114 11 10.61588        1.453        0.000        0.000    -0.003     0.004    -0.004 3     -1.54010    0.13900   31.29930
 34544.950000 2047   22 18 19.34573  114 11 10.61588        1.453        0.000        0.000     0.009    -0.003     0.004 3     -1.54180    0.14060   31.29920
 34545.050000 2047   22 18 19.34572  114 11 10.61587        1.453        0.000        0.000    -0.005     0.003    -0.005 3     -1.54000    0.14120   31.30010
 34545.150000 2047   22 18 19.34571  114 11 10.61587        1.454        0.000        0.000     0.007    -0.005     0.005 3     -1.54320    0.14280   31.30030
 34545.250000 2047   22 18 19.34569  114 11 10.61587        1.454        0.000        0.000    -0.003     0.002    -0.003 3     -1.54180    0.14060   31.30000
 34545.350000 2047   22 18 19.34568  114 11 10.61587        1.454        0.000        0.000     0.008    -0.005     0.005 3     -1.54370    0.13970   31.29940
 34545.450000 2047   22 18 19.34567  114 11 10.61587        1.454        0.000        0.000    -0.003     0.003    -0.003 3     -1.54250    0.14030   31.30010
 34545.550000 2047   22 18 19.34567  114 11 10.61587        1.454        0.000        0.000     0.010    -0.001     0.003 3     -1.54430    0.14260   31.29920
 34545.650000 2047   22 18 19.34566  114 11 10.61587        1.455        0.000        0.000    -0.002     0.005    -0.005 3     -1.54280    0.14000   31.29960
 34545.750000 2047   22 18 19.34565  114 11 10.61587        1.455        0.000        0.000     0.004     0.002     0.006 3     -1.54340    0.14200   31.29880
 34545.850000 2047   22 18 19.34564  114 11 10.61587        1.455        0.000        0.000    -0.002     0.003    -0.008 3     -1.54180    0.14310   31.29950
 34545.950000 2047   22 18 19.34563  114 11 10.61587        1.455        0.000        0.000     0.006    -0.002     0.010 3     -1.54380    0.14410   31.29870
 34546.050000 2047   22 18 19.34562  114 11 10.61587        1.455        0.000        0.000    -0.003     0.000    -0.007 3     -1.54240    0.14400   31.30000
 34546.150000 2047   22 18 19.34561  114 11 10.61586        1.455        0.000        0.000     0.006    -0.005     0.010 3     -1.54350    0.14310   31.29940
 34546.250000 2047   22 18 19.34560  114 11 10.61586        1.455        0.000        0.000     0.001    -0.004    -0.010 3     -1.54360    0.14220   31.30010
 34546.350000 2047   22 18 19.34559  114 11 10.61586        1.455        0.000        0.000     0.002     0.001     0.014 3     -1.54300    0.13970   31.29870
 34546.450000 2047   22 18 19.34559  114 11 10.61586        1.455        0.000        0.000     0.009    -0.005    -0.012 3     -1.54530    0.14460   31.29910
 34546.550000 2047   22 18 19.34558  114 11 10.61586        1.455        0.000        0.000    -0.001     0.002     0.008 3     -1.54350    0.14090   31.29900
 34546.650000 2047   22 18 19.34557  114 11 10.61586        1.455        0.000        0.000     0.008    -0.002     0.000 3     -1.54500    0.14510   31.29810
 34546.750000 2047   22 18 19.34556  114 11 10.61586        1.455        0.000        0.000     0.001     0.002    -0.005 3     -1.54490    0.14640   31.29820
 34546.850000 2047   22 18 19.34555  114 11 10.61586        1.455        0.000        0.000     0.000     0.002     0.011 3     -1.54750    0.14570   31.29700
 34546.950000 2047   22 18 19.34554  114 11 10.61586        1.455        0.000        0.000     0.005    -0.007    -0.009 3     -1.55140    0.15200   31.29690
 34547.050000 2047   22 18 19.34554  114 11 10.61586        1.455        0.000        0.000    -0.004     0.003     0.007 3     -1.55190    0.14820   31.29820
 34547.150000 2047   22 18 19.34553  114 11 10.61586        1.455        0.000        0.000     0.002    -0.001     0.002 3     -1.55280    0.15220   31.29960
 34547.250000 2047   22 18 19.34552  114 11 10.61586        1.455        0.000        0.000    -0.001    -0.005    -0.008 3     -1.55540    0.15310   31.30010
 34547.350000 2047   22 18 19.34551  114 11 10.61586        1.455        0.000        0.000    -0.005    -0.001     0.007 3     -1.55620    0.14860   31.29960
 34547.450000 2047   22 18 19.34551  114 11 10.61586        1.455        0.000        0.000    -0.002    -0.001     0.004 3     -1.55630    0.14870   31.29970
 34547.550000 2047   22 18 19.34550  114 11 10.61586        1.455        0.000        0.000     0.003    -0.004    -0.003 3     -1.55830    0.15490   31.29850
 34547.650000 2047   22 18 19.34549  114 11 10.61586        1.455        0.000        0.000    -0.003    -0.002     0.001 3     -1.55960    0.15340   31.29860
 34547.750000 2047   22 18 19.34548  114 11 10.61586        1.455        0.000        0.000    -0.005    -0.001     0.007 3     -1.56200    0.15170   31.30120
 34547.850000 2047   22 18 19.34548  114 11 10.61586        1.455        0.000        0.000     0.002    -0.003     0.003 3     -1.56170    0.15520   31.30190
 34547.950000 2047   22 18 19.34547  114 11 10.61586        1.455        0.000        0.000     0.004    -0.004    -0.004 3     -1.56270    0.15450   31.30170
 34548.050000 2047   22 18 19.34546  114 11 10.61586        1.455        0.000        0.000    -0.001     0.001     0.002 3     -1.56290    0.14740   31.30210
 34548.150000 2047   22 18 19.34545  114 11 10.61586        1.455        0.000        0.000    -0.001     0.001     0.006 3     -1.56170    0.15100   31.30230
 34548.250000 2047   22 18 19.34545  114 11 10.61586        1.455        0.000        0.000     0.007    -0.005    -0.003 3     -1.56160    0.15210   31.30180
 34548.350000 2047   22 18 19.34544  114 11 10.61586        1.455        0.000        0.000     0.001    -0.004    -0.001 3     -1.56320    0.14830   31.30240
 34548.450000 2047   22 18 19.34543  114 11 10.61586        1.454        0.000        0.000    -0.003     0.001     0.008 3     -1.56160    0.14760   31.30220
 34548.550000 2047   22 18 19.34543  114 11 10.61586        1.454        0.000        0.000     0.006    -0.002     0.000 3     -1.56170    0.15150   31.30160
 34548.650000 2047   22 18 19.34542  114 11 10.61586        1.454        0.000        0.000     0.002    -0.004    -0.004 3     -1.56310    0.15030   31.30240
 34548.750000 2047   22 18 19.34541  114 11 10.61586        1.454        0.000        0.000    -0.003    -0.002     0.007 3     -1.56120    0.14810   31.30260
 34548.850000 2047   22 18 19.34541  114 11 10.61586        1.454        0.000        0.000     0.004    -0.004     0.002 3     -1.56070    0.14980   31.30200
 34548.950000 2047   22 18 19.34540  114 11 10.61586        1.454        0.000        0.000     0.002    -0.004    -0.006 3     -1.56500    0.14930   31.30170
 34549.050000 2047   22 18 19.34539  114 11 10.61586        1.454        0.000        0.000    -0.003     0.001     0.005 3     -1.55980    0.14490   31.30170
 34549.150000 2047   22 18 19.34539  114 11 10.61585        1.454        0.000        0.000     0.002    -0.001     0.002 3     -1.56090    0.14770   31.30170
 34549.250000 2047   22 18 19.34538  114 11 10.61585        1.454        0.000        0.000     0.004    -0.005    -0.007 3     -1.56460    0.14780   31.30140
 34549.350000 2047   22 18 19.34537  114 11 10.61585        1.453        0.000        0.000    -0.004     0.000     0.004 3     -1.56140    0.14490   31.30120
 34549.450000 2047   22 18 19.34537  114 11 10.61585        1.453        0.000        0.000     0.001     0.001     0.003 3     -1.55980    0.14630   31.30150
 34549.550000 2047   22 18 19.34536  114 11 10.61585        1.453        0.000        0.000     0.002    -0.003    -0.006 3     -1.56240    0.14890   31.30130
 34549.650000 2047   22 18 19.34535  114 11 10.61585        1.453        0.000        0.000    -0.004    -0.002     0.001 3     -1.56160    0.14740   31.30290
 34549.750000 2047   22 18 19.34535  114 11 10.61585        1.453        0.000        0.000     0.000    -0.001     0.006 3     -1.56110    0.14630   31.30350
 34549.850000 2047   22 18 19.34534  114 11 10.61585        1.453        0.000        0.000     0.003    -0.004    -0.007 3     -1.56130    0.14760   31.30290
 34549.950000 2047   22 18 19.34533  114 11 10.61585        1.453        0.000        0.000    -0.005     0.000     0.001 3     -1.56170    0.14760   31.30320
 34550.000000 2047   22 18 19.34533  114 11 10.61585        1.453        0.000        0.000     0.002    -0.005    -0.007 3     -1.56120    0.14980   31.30310
 34550.050000 2047   22 18 19.34533  114 11 10.61585        1.453        0.000        0.000    -0.001     0.000     0.005 3     -1.55670    0.14530   31.30230
 34550.100000 2047   22 18 19.34533  114 11 10.61585        1.453        0.000        0.000    -0.001    -0.001    -0.001 3     -1.55870    0.14650   31.30220
 34550.150000 2047   22 18 19.34532  114 11 10.61585        1.452        0.000        0.000     0.003    -0.005    -0.006 3     -1.55910    0.14750   31.30160
 34550.200000 2047   22 18 19.34532  114 11 10.61585        1.452        0.000        0.000    -0.003     0.002     0.006 3     -1.55820    0.14250   31.30190
 34550.250000 2047   22 18 19.34532  114 11 10.61585        1.452        0.000        0.000    -0.002    -0.001    -0.001 3     -1.56100    0.14370   31.30090
 34550.300000 2047   22 18 19.34531  114 11 10.61585        1.452        0.000        0.000     0.005    -0.003    -0.006 3     -1.55930    0.14470   31.30020
 34550.350000 2047   22 18 19.34531  114 11 10.61585        1.452        0.000        0.000    -0.002     0.001     0.006 3     -1.55680    0.14210   31.30070
 34550.400000 2047   22 18 19.34531  114 11 10.61585        1.452        0.000        0.000    -0.004     0.000    -0.002 3     -1.55930    0.14390   31.30160
 34550.450000 2047   22 18 19.34531  114 11 10.61585        1.452        0.000        0.000     0.004    -0.005    -0.008 3     -1.55780    0.14880   31.30250
 34550.500000 2047   22 18 19.34530  114 11 10.61585        1.452        0.000        0.000     0.000     0.001     0.007 3     -1.55560    0.14650   31.30200
 34550.550000 2047   22 18 19.34530  114 11 10.61585        1.452        0.000        0.000    -0.005     0.002     0.001 3     -1.55910    0.14490   31.30080
 34550.600000 2047   22 18 19.34530  114 11 10.61585        1.452        0.000        0.000     0.002    -0.004    -0.010 3     -1.56360    0.14750   31.30070
 34550.650000 2047   22 18 19.34529  114 11 10.61585        1.452        0.000        0.000     0.004    -0.002     0.008 3     -1.55960    0.14490   31.30190
 34550.700000 2047   22 18 19.34529  114 11 10.61585        1.452        0.000        0.000    -0.004     0.001     0.007 3     -1.55920    0.14230   31.30090
 34550.750000 2047   22 18 19.34529  114 11 10.61585        1.452        0.000        0.000     0.002    -0.004    -0.010 3     -1.56160    0.14790   31.30090
 34550.800000 2047   22 18 19.34529  114 11 10.61585        1.452        0.000        0.000     0.007    -0.003     0.000 3     -1.55680    0.14780   31.30230
 34550.850000 2047   22 18 19.34528  114 11 10.61584        1.452        0.000        0.000    -0.004     0.002     0.012 3     -1.55620    0.14590   31.30240
 34550.900000 2047   22 18 19.34528  114 11 10.61584        1.452        0.000        0.000    -0.004    -0.001    -0.005 3     -1.55950    0.14510   31.30190
 34550.950000 2047   22 18 19.34528  114 11 10.61584        1.451        0.000        0.000     0.006    -0.006    -0.008 3     -1.56040    0.14780   31.30100
 34551.050000 2047   22 18 19.34527  114 11 10.61584        1.451        0.000        0.000    -0.003     0.005     0.006 3     -1.55730    0.14140   31.30080
 34551.150000 2047   22 18 19.34527  114 11 10.61584        1.451        0.000        0.000     0.008    -0.002    -0.004 3     -1.55810    0.14850   31.30270
 34551.250000 2047   22 18 19.34526  114 11 10.61584        1.451        0.000        0.000    -0.005     0.004     0.001 3     -1.55340    0.14710   31.30090
 34551.350000 2047   22 18 19.34526  114 11 10.61584        1.451        0.000        0.000     0.005    -0.003     0.001 3     -1.55800    0.14730   31.30050
 34551.450000 2047   22 18 19.34525  114 11 10.61584        1.451        0.000        0.000    -0.008     0.003    -0.003 3     -1.55220    0.14800   31.30210
 34551.550000 2047   22 18 19.34525  114 11 10.61584        1.451        0.000        0.000     0.006    -0.006     0.005 3     -1.55740    0.14860   31.30090
 34551.650000 2047   22 18 19.34524  114 11 10.61584        1.450        0.000        0.000    -0.008     0.001    -0.005 3     -1.55310    0.14390   31.30110
 34551.750000 2047   22 18 19.34524  114 11 10.61584        1.450        0.000        0.000     0.006    -0.005     0.004 3     -1.55650    0.14680   31.30160
 34551.850000 2047   22 18 19.34523  114 11 10.61584        1.450        0.000        0.000    -0.005     0.003    -0.005 3     -1.55370    0.14350   31.30140
 34551.950000 2047   22 18 19.34523  114 11 10.61584        1.450        0.000        0.000     0.006    -0.001     0.002 3     -1.55700    0.14530   31.30060
 34552.050000 2047   22 18 19.34522  114 11 10.61584        1.450        0.000        0.000    -0.006     0.006    -0.005 3     -1.55020    0.14620   31.30190
 34552.150000 2047   22 18 19.34522  114 11 10.61584        1.450        0.000        0.000     0.006    -0.003     0.002 3     -1.55660    0.14940   31.30110
 34552.250000 2047   22 18 19.34521  114 11 10.61584        1.450        0.000        0.000    -0.006     0.005    -0.005 3     -1.55040    0.14770   31.30070
 34552.350000 2047   22 18 19.34521  114 11 10.61584        1.450        0.000        0.000     0.006    -0.005     0.001 3     -1.55350    0.14910   31.30150
 34552.450000 2047   22 18 19.34520  114 11 10.61584        1.449        0.000        0.000    -0.005     0.001    -0.003 3     -1.54640    0.14780   31.30000
 34552.550000 2047   22 18 19.34520  114 11 10.61583        1.449        0.000        0.000     0.007    -0.003     0.001 3     -1.55070    0.14680   31.30130
 34552.650000 2047   22 18 19.34520  114 11 10.61583        1.449        0.000        0.000    -0.005     0.004    -0.003 3     -1.54780    0.14510   31.29980
 34552.750000 2047   22 18 19.34519  114 11 10.61583        1.449        0.000        0.000     0.006    -0.003    -0.001 3     -1.55260    0.14840   31.30080
 34552.850000 2047   22 18 19.34519  114 11 10.61583        1.449        0.000        0.000    -0.004     0.008    -0.002 3     -1.54760    0.14710   31.30210
 34552.950000 2047   22 18 19.34518  114 11 10.61583        1.449        0.000        0.000     0.008    -0.001    -0.003 3     -1.55370    0.14850   31.29990
 34553.050000 2047   22 18 19.34518  114 11 10.61583        1.449        0.000        0.000    -0.005     0.001     0.001 3     -1.54680    0.14670   31.30070
 34553.150000 2047   22 18 19.34517  114 11 10.61583        1.448        0.000        0.000     0.007    -0.006    -0.001 3     -1.54550    0.15230   31.30460
 34553.250000 2047   22 18 19.34517  114 11 10.61583        1.448        0.000        0.000    -0.002     0.003     0.001 3     -1.54260    0.14820   31.30120
 34553.350000 2047   22 18 19.34517  114 11 10.61583        1.448        0.000        0.000     0.003    -0.004    -0.004 3     -1.55440    0.14540   31.30220
 34553.450000 2047   22 18 19.34516  114 11 10.61583        1.448        0.000        0.000     0.000     0.002     0.001 3     -1.54850    0.14860   31.30340
 34553.550000 2047   22 18 19.34516  114 11 10.61583        1.448        0.000        0.000     0.007    -0.001    -0.007 3     -1.54880    0.14980   31.30220
 34553.650000 2047   22 18 19.34515  114 11 10.61583        1.448        0.000        0.000    -0.002     0.002     0.003 3     -1.54700    0.14820   31.30340
 34553.750000 2047   22 18 19.34515  114 11 10.61583        1.447        0.000        0.000     0.005    -0.002    -0.008 3     -1.55180    0.15160   31.30190
 34553.850000 2047   22 18 19.34515  114 11 10.61583        1.447        0.000        0.000    -0.002     0.003    -0.001 3     -1.54900    0.14850   31.30330
 34553.950000 2047   22 18 19.34514  114 11 10.61583        1.447        0.000        0.000     0.004    -0.005    -0.001 3     -1.54700    0.15060   31.30320
 34554.050000 2047   22 18 19.34514  114 11 10.61583        1.447        0.000        0.000    -0.001    -0.002    -0.007 3     -1.54850    0.15200   31.30080
 34554.150000 2047   22 18 19.34514  114 11 10.61583        1.447        0.000        0.000     0.000     0.001     0.006 3     -1.54910    0.14800   31.30160
 34554.250000 2047   22 18 19.34513  114 11 10.61583        1.447        0.000        0.000     0.007    -0.007    -0.008 3     -1.54870    0.14950   31.30140
 34554.350000 2047   22 18 19.34513  114 11 10.61583        1.447        0.000        0.000    -0.002     0.001     0.003 3     -1.54760    0.14840   31.30120
 34554.450000 2047   22 18 19.34513  114 11 10.61583        1.446        0.000        0.000     0.009    -0.003    -0.001 3     -1.54780    0.14960   31.30020
 34554.550000 2047   22 18 19.34512  114 11 10.61583        1.446        0.000        0.000    -0.001     0.002    -0.003 3     -1.54850    0.14870   31.30060
 34554.650000 2047   22 18 19.34512  114 11 10.61583        1.446        0.000        0.000     0.006     0.000     0.004 3     -1.54950    0.15000   31.30020
 34554.750000 2047   22 18 19.34512  114 11 10.61583        1.446        0.000        0.000     0.002     0.001    -0.007 3     -1.54900    0.15190   31.30140
 34554.850000 2047   22 18 19.34511  114 11 10.61583        1.446        0.000        0.000     0.005     0.001     0.010 3     -1.54940    0.15090   31.29980
 34554.950000 2047   22 18 19.34511  114 11 10.61583        1.446        0.000        0.000     0.004    -0.001    -0.010 3     -1.54740    0.15410   31.29950
 34555.050000 2047   22 18 19.34511  114 11 10.61584        1.445        0.000        0.000     0.000     0.000     0.009 3     -1.54580    0.15340   31.30150
 34555.150000 2047   22 18 19.34510  114 11 10.61584        1.445        0.000        0.000     0.000    -0.004    -0.009 3     -1.55080    0.15610   31.30080
 34555.250000 2047   22 18 19.34510  114 11 10.61584        1.445        0.000        0.000     0.001    -0.001     0.010 3     -1.54730    0.15350   31.29940
 34555.350000 2047   22 18 19.34510  114 11 10.61584        1.445        0.000        0.000     0.003    -0.005    -0.008 3     -1.55220    0.15360   31.30270
 34555.450000 2047   22 18 19.34509  114 11 10.61584        1.445        0.000        0.000    -0.001    -0.001     0.008 3     -1.55010    0.15230   31.30150
